City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Benghazi,LY,77.92,clear sky,32.12,20.07,Tibesti Hotel
6,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Central
9,Cockburn Town,TC,82.89,overcast clouds,21.46,-71.14,Osprey Beach Hotel
12,Hasaki,JP,95.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
14,Axim,GH,75.27,light rain,4.87,-2.24,Axim Beach Resort And Spa
17,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
20,Yarada,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
23,Siverek,TR,78.8,clear sky,37.76,39.32,Mercan Hotel
24,Raisinghnagar,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
27,Bani Walid,LY,77.92,clear sky,32.12,20.07,Tibesti Hotel
30,Bien Hoa,VN,87.8,broken clouds,10.95,106.82,OYO 991 Duy Anh Hotel
32,Maumere,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
37,Alofi,NU,78.17,broken clouds,-19.06,-169.92,Taloa Heights
43,Butaritari,KI,83.19,few clouds,3.07,172.79,Isles Sunset Lodge
44,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
53,Kapaa,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
54,Kroya,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
58,Nicoya,CR,75.72,overcast clouds,10.15,-85.45,Las Cabinas Del Sueño
63,Celestun,MX,82.54,light rain,20.87,-90.4,Posada Lilia
66,Kodiak,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
67,Marsh Harbour,BS,83.97,overcast clouds,26.54,-77.06,Abaco Beach Resort
68,Atar,MR,89.58,scattered clouds,20.52,-13.05,Oumou Elghoura
73,Samarai,PG,78.46,broken clouds,-10.62,150.67,Nuli Sapi
74,Isla Mujeres,MX,82.54,light rain,20.87,-90.4,Posada Lilia
75,Tianpeng,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
76,Salalah,OM,78.8,scattered clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
80,Cortez,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
81,Tharad,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
90,Lorengau,PG,78.46,broken clouds,-10.62,150.67,Nuli Sapi
93,Barrow,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
95,Wewak,PG,78.46,broken clouds,-10.62,150.67,Nuli Sapi
97,Wufeng,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
103,Fortuna,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
107,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
109,Padang,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
111,Jamestown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
120,Kanker,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
125,Praia,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
126,Paradwip,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
130,Belen,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
131,Atambua,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
132,Hithadhoo,MV,82.02,light rain,-0.6,73.08,Scoop Guest House
138,Radnevo,BG,75.2,broken clouds,42.3,25.93,Hotel Nakra
142,Kavaratti,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
143,Alexandria,EG,78.8,clear sky,31.22,29.96,Royal Crown Hotel
144,Nouadhibou,MR,89.58,scattered clouds,20.52,-13.05,Oumou Elghoura
147,Bethel,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
151,Hengshui,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
155,Zhumadian,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
157,Xining,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
158,Lasa,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
159,San Patricio,MX,82.54,light rain,20.87,-90.4,Posada Lilia
165,Cairo,EG,78.8,clear sky,31.22,29.96,Royal Crown Hotel
169,Bengkulu,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
170,Along,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
173,Oranjestad,AW,84.2,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
178,Elat,IL,89.6,clear sky,29.56,34.95,Club Hotel Eilat
187,Puerto Penasco,MX,82.54,light rain,20.87,-90.4,Posada Lilia
189,Lompoc,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
192,Ishigaki,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
194,Matara,LK,82.85,broken clouds,5.95,80.54,Amaloh Boutique Resort
197,Xiongzhou,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
199,Bull Savanna,JM,77.5,clear sky,17.89,-77.59,Big Red's
209,Biak,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
212,Katsuura,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
223,Char Bhadrasan,BD,86.0,haze,23.32,90.22,মেছের মোল্লা কান্দি
230,Santa Cruz,CR,75.72,overcast clouds,10.15,-85.45,Las Cabinas Del Sueño
237,Puerto Escondido,MX,82.54,light rain,20.87,-90.4,Posada Lilia
238,Labuhan,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
239,Freeport,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
242,Sitka,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
243,Ponta Do Sol,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
245,Harper,LR,75.47,light rain,4.38,-7.72,Screensaver
256,Meulaboh,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
263,Sabha,LY,77.92,clear sky,32.12,20.07,Tibesti Hotel
267,Dibulla,CO,78.01,overcast clouds,11.27,-73.31,Hospedaje Dibulla Beach
268,Naze,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
271,Acapulco,MX,82.54,light rain,20.87,-90.4,Posada Lilia
272,Ojinaga,MX,82.54,light rain,20.87,-90.4,Posada Lilia
273,Mataram,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
276,Bairiki,KI,83.19,few clouds,3.07,172.79,Isles Sunset Lodge
281,Biabou,VC,78.8,few clouds,13.2,-61.13,Spring Garden Resort
283,Kahului,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
288,Trat,TH,82.4,broken clouds,12.5,102.5,สวนหนิง-อัศ
290,Luohe,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
291,Hambantota,LK,82.85,broken clouds,5.95,80.54,Amaloh Boutique Resort
300,Tukrah,LY,77.92,clear sky,32.12,20.07,Tibesti Hotel
301,Sal Rei,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
302,Kota Kinabalu,MY,87.8,few clouds,5.97,116.07,Gaya Centre Hotel
305,Tual,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
311,Fairbanks,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
313,Akita,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
315,Nome,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
317,Guanica,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
323,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
325,Kutahya,TR,78.8,clear sky,37.76,39.32,Mercan Hotel
326,Yuzhou,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
328,Kieta,PG,78.46,broken clouds,-10.62,150.67,Nuli Sapi
331,Amuntai,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
333,Altamont,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
334,Nabire,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
338,Palabuhanratu,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
339,Mount Pleasant,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
340,Sao Filipe,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
341,Namatanai,PG,78.46,broken clouds,-10.62,150.67,Nuli Sapi
343,Nieuw Nickerie,SR,80.67,light rain,5.95,-56.98,Ishwardat Inn
346,Pingliang,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
354,Wilmington,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
355,Balkanabat,TM,82.33,clear sky,39.51,54.37,Nebitchi Hotel
359,Yavaros,MX,82.54,light rain,20.87,-90.4,Posada Lilia
362,Cabo San Lucas,MX,82.54,light rain,20.87,-90.4,Posada Lilia
364,Honiara,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
365,Kawalu,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
367,Paredon,MX,82.54,light rain,20.87,-90.4,Posada Lilia
372,Martapura,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
374,Veraval,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
375,Utiroa,KI,83.19,few clouds,3.07,172.79,Isles Sunset Lodge
377,Winnemucca,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
387,Salina Cruz,MX,82.54,light rain,20.87,-90.4,Posada Lilia
390,Narasannapeta,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
392,Gillette,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
393,Zhicheng,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
398,Isangel,VU,77.0,broken clouds,-19.55,169.27,Tanna Lodge
399,El Wasta,EG,78.8,clear sky,31.22,29.96,Royal Crown Hotel
404,Port-Gentil,GA,75.42,overcast clouds,-0.72,8.78,Fengshui Residence
409,North Bend,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
410,Leh,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
412,Tomatlan,MX,82.54,light rain,20.87,-90.4,Posada Lilia
415,College,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
422,Ningan,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
425,Porto Novo,CV,78.8,broken clouds,14.92,-23.51,LT Aparthotel
427,Hami,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
428,Korla,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
442,Singapore,SG,86.0,broken clouds,1.29,103.85,The Fullerton Hotel Singapore
445,San Policarpo,PH,85.05,overcast clouds,12.18,125.51,Agapita M. Nicart
446,Miramar,MX,82.54,light rain,20.87,-90.4,Posada Lilia
448,Kota Bahru,MY,87.8,few clouds,5.97,116.07,Gaya Centre Hotel
452,Kaka,TM,82.33,clear sky,39.51,54.37,Nebitchi Hotel
453,Kudahuvadhoo,MV,82.02,light rain,-0.6,73.08,Scoop Guest House
454,Qinhuangdao,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
458,Vizal San Pablo,PH,85.05,overcast clouds,12.18,125.51,Agapita M. Nicart
462,Sakakah,SA,87.8,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
470,Modesto,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
475,San Quintin,MX,82.54,light rain,20.87,-90.4,Posada Lilia
477,Naraina,IN,84.2,mist,17.65,83.27,Yarada Jungle Beach Resorts
481,Limbang,MY,87.8,few clouds,5.97,116.07,Gaya Centre Hotel
482,Wajima,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
486,Lata,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
490,Xingcheng,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
493,Nuevo Progreso,MX,82.54,light rain,20.87,-90.4,Posada Lilia
499,Kapit,MY,87.8,few clouds,5.97,116.07,Gaya Centre Hotel
503,Rucheng,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
504,Sibolga,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
505,Buala,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
515,Nalut,LY,77.92,clear sky,32.12,20.07,Tibesti Hotel
516,Zhuanghe,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
517,Asyut,EG,78.8,clear sky,31.22,29.96,Royal Crown Hotel
520,Banda Aceh,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
523,Mankera,PK,88.34,moderate rain,31.39,71.44,khushhali bank
525,Nishihara,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
527,Xadani,MX,82.54,light rain,20.87,-90.4,Posada Lilia
532,Kabanjahe,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
536,Ambon,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
538,Zigong,CN,82.0,clear sky,30.99,103.94,Shuangliu Love Home Business Hotel
541,Bambanglipuro,ID,84.7,broken clouds,-8.62,122.21,Sylvia Hotel
550,Hofu,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
551,Auki,SB,75.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
553,Alpena,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
555,Kitakata,JP,82.4,broken clouds,24.34,124.16,Hotel Peace Land Ishigakijima
558,Cay,TR,78.8,clear sky,37.76,39.32,Mercan Hotel
