City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,68.2191,-135.0107,49.89,57,100,5.06,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,39.47,99,100,1.28,light rain
2,Hermanus,ZA,-34.4187,19.2345,64.22,40,51,10.63,broken clouds
3,Santa Rosa,PH,14.3122,121.1114,82.11,78,78,3.2,broken clouds
4,Lasa,IT,46.6166,10.7002,59.88,84,5,5.06,clear sky
5,Catuday,PH,16.2923,119.8062,79.72,82,97,6.04,overcast clouds
6,Yellowknife,CA,62.456,-114.3525,75.72,35,75,18.01,broken clouds
7,Djenne,ML,13.9061,-4.5533,98.42,12,6,4.12,clear sky
8,Ponta Do Sol,PT,32.6667,-17.1,74.03,67,0,5.41,clear sky
9,Saskylakh,RU,71.9167,114.0833,41.94,70,0,17.09,clear sky
10,Cherskiy,RU,68.75,161.3,67.71,31,31,14.03,scattered clouds
11,Muroto,JP,33.2833,134.15,70.11,81,100,4.59,moderate rain
12,Hobart,AU,-42.8794,147.3294,44.26,93,75,6.91,light intensity shower rain
13,Dikson,RU,73.5069,80.5464,35.02,84,91,7.72,overcast clouds
14,Larsnes,NO,62.2028,5.5773,59.41,91,69,2.8,broken clouds
15,Jamestown,US,42.097,-79.2353,69.19,28,0,14.97,clear sky
16,Rikitea,PF,-23.1203,-134.9692,75.43,67,100,16.44,overcast clouds
17,Tanout,NE,14.9709,8.8879,90.88,22,24,9.46,few clouds
18,Bonavista,CA,48.6499,-53.1147,49.96,97,99,22.12,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,2,7.0,clear sky
20,Huoqiu,CN,32.3394,116.2694,68.63,71,68,8.59,broken clouds
21,Maraba,BR,-5.3686,-49.1178,84.38,70,75,3.44,moderate rain
22,Atuona,PF,-9.8,-139.0333,77.61,71,24,15.48,few clouds
23,Fortuna,US,40.5982,-124.1573,79.93,71,20,13.8,few clouds
24,Bredasdorp,ZA,-34.5322,20.0403,58.57,47,62,4.99,broken clouds
25,Olinda,BR,-8.0089,-34.8553,80.33,78,20,4.61,few clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,100,13.8,overcast clouds
27,Touros,BR,-5.1989,-35.4608,76.87,88,8,9.37,clear sky
28,Phalaborwa,ZA,-23.943,31.1411,58.28,62,0,4.45,clear sky
29,Albany,US,42.6001,-73.9662,75.16,46,10,1.99,clear sky
